Payment_ID,Student_ID,Month,Tuition_Fee,Transport_Fee,Total_Fee,Amount_Paid,Payment_Date,Payment_Mode
40,40,01-01-2022,4000,0,4000,4000,25-01-2022,Bank Transfer
41,41,01-01-2022,2500,1200,3700,3700,03-01-2022,Card
42,42,01-01-2022,2000,1200,3200,3200,05-01-2022,Cash
43,43,01-01-2022,3200,1200,4400,4400,01-01-2022,Bank Transfer
44,44,01-01-2022,1500,1600,3100,0,,Card
45,45,01-01-2022,2000,0,2000,2000,02-01-2022,UPI
46,46,01-01-2022,1500,1200,2700,2700,01-01-2022,Bank Transfer
47,47,01-01-2022,2500,0,2500,2500,03-01-2022,UPI
48,48,01-01-2022,2000,1200,3200,3200,04-01-2022,Cash
49,49,01-01-2022,3200,1600,4800,4800,05-01-2022,Card
50,50,01-01-2022,2500,1600,4100,4100,02-01-2022,Bank Transfer
51,51,01-01-2022,1500,1200,2700,2700,20-01-2022,Bank Transfer
52,52,01-01-2022,2000,1600,3600,1805.76542,02-01-2022,Card
53,53,01-01-2022,3200,1200,4400,4400,02-01-2022,Bank Transfer
54,54,01-01-2022,4000,800,4800,1761.325502,05-01-2022,Card
55,55,01-01-2022,1500,1200,2700,2700,01-01-2022,Cash
56,56,01-01-2022,3200,800,4000,4000,03-01-2022,Cash
57,57,01-01-2022,3200,1200,4400,4400,04-01-2022,Cash
58,58,01-01-2022,3200,1600,4800,4800,04-01-2022,UPI
59,59,01-01-2022,2000,1600,3600,3600,01-01-2022,Cash
60,60,01-01-2022,1500,1600,3100,1005.150086,02-01-2022,Bank Transfer
61,61,01-01-2022,2000,800,2800,2800,03-01-2022,Card
62,62,01-01-2022,4000,1600,5600,5600,04-01-2022,UPI
63,63,01-01-2022,4000,1200,5200,2889.186891,10-01-2022,UPI
64,64,01-01-2022,2500,1200,3700,3700,12-01-2022,Cash
65,65,01-01-2022,4000,0,4000,4000,12-01-2022,Bank Transfer
66,66,01-01-2022,2500,800,3300,3300,03-01-2022,Bank Transfer
67,67,01-01-2022,1500,1600,3100,3100,03-01-2022,UPI
68,68,01-01-2022,1500,1600,3100,3100,05-01-2022,Bank Transfer
69,69,01-01-2022,2000,1200,3200,3200,01-01-2022,Bank Transfer
70,70,01-01-2022,1500,1200,2700,2700,03-01-2022,Card
71,71,01-01-2022,2500,1200,3700,3700,03-01-2022,Card
72,72,01-01-2022,2000,0,2000,2000,03-01-2022,Cash
73,73,01-01-2022,1500,1200,2700,2700,19-01-2022,Card
74,74,01-01-2022,2000,1200,3200,3200,05-01-2022,UPI
75,75,01-01-2022,2000,1200,3200,3200,01-01-2022,Bank Transfer
76,76,01-01-2022,3200,1600,4800,2929.750143,04-01-2022,Bank Transfer
77,77,01-01-2022,2000,800,2800,2800,04-01-2022,Cash
78,78,01-01-2022,2000,1200,3200,3200,02-01-2022,UPI
79,79,01-01-2022,1500,1600,3100,3100,03-01-2022,UPI
80,80,01-01-2022,3200,0,3200,3200,04-01-2022,UPI
81,81,01-01-2022,4000,1200,5200,5200,04-01-2022,UPI
82,82,01-01-2022,1500,1200,2700,2700,02-01-2022,Bank Transfer
83,83,01-01-2022,3200,1200,4400,4400,05-01-2022,Bank Transfer
84,84,01-01-2022,2000,1600,3600,0,,UPI
85,85,01-01-2022,2500,1200,3700,3700,04-01-2022,Bank Transfer
86,86,01-01-2022,2500,1600,4100,4100,03-01-2022,UPI
87,87,01-01-2022,4000,0,4000,4000,05-01-2022,UPI
88,88,01-01-2022,3200,0,3200,3200,02-01-2022,Card
89,89,01-01-2022,2500,1200,3700,3700,04-01-2022,Cash
90,90,01-01-2022,2000,0,2000,2000,04-01-2022,Cash
91,91,01-01-2022,1500,1600,3100,3100,04-01-2022,Card
92,92,01-01-2022,2000,1600,3600,3600,16-01-2022,Card
93,93,01-01-2022,2500,800,3300,0,,Bank Transfer
94,94,01-01-2022,3200,0,3200,3200,02-01-2022,Card
95,95,01-01-2022,3200,800,4000,4000,04-01-2022,UPI
96,96,01-01-2022,4000,1200,5200,5200,15-01-2022,Bank Transfer
97,97,01-01-2022,4000,800,4800,4800,03-01-2022,Bank Transfer
98,98,01-01-2022,4000,1600,5600,5600,01-01-2022,Cash
99,99,01-01-2022,3200,1200,4400,4400,02-01-2022,Cash
100,100,01-01-2022,1500,800,2300,2300,05-01-2022,Bank Transfer
101,101,01-01-2022,3200,800,4000,4000,05-01-2022,Cash
102,102,01-01-2022,2500,800,3300,3300,03-01-2022,Bank Transfer
103,103,01-01-2022,3200,1600,4800,4800,25-01-2022,UPI
104,104,01-01-2022,2500,1600,4100,4100,05-01-2022,Cash
105,105,01-01-2022,1500,1200,2700,2700,18-01-2022,Bank Transfer
106,106,01-01-2022,4000,1600,5600,5600,05-01-2022,UPI
107,107,01-01-2022,2500,1600,4100,4100,01-01-2022,Card
108,108,01-01-2022,2500,800,3300,3300,03-01-2022,Bank Transfer
109,109,01-01-2022,4000,1200,5200,5200,03-01-2022,Bank Transfer
110,110,01-01-2022,1500,0,1500,1500,04-01-2022,Card
111,111,01-01-2022,1500,1600,3100,3100,18-01-2022,Cash
112,112,01-01-2022,2500,1200,3700,3700,27-01-2022,Cash
113,113,01-01-2022,1500,1600,3100,3100,05-01-2022,Cash
114,114,01-01-2022,1500,1200,2700,2700,04-01-2022,Bank Transfer
115,115,01-01-2022,1500,1600,3100,3100,01-01-2022,Cash
116,116,01-01-2022,4000,800,4800,4800,04-01-2022,Cash
117,117,01-01-2022,2000,800,2800,2800,04-01-2022,Card
118,118,01-01-2022,3200,800,4000,4000,02-01-2022,Bank Transfer
119,119,01-01-2022,2500,0,2500,2500,05-01-2022,UPI
120,120,01-01-2022,3200,0,3200,0,,Bank Transfer
121,121,01-01-2022,3200,800,4000,4000,03-01-2022,UPI
122,122,01-01-2022,4000,800,4800,4800,03-01-2022,Bank Transfer
123,123,01-01-2022,2500,0,2500,2500,05-01-2022,Card
124,124,01-01-2022,3200,800,4000,4000,04-01-2022,Cash
125,125,01-01-2022,2500,1200,3700,3700,05-01-2022,UPI
126,126,01-01-2022,4000,0,4000,4000,04-01-2022,Cash
127,127,01-01-2022,1500,1200,2700,2700,02-01-2022,UPI
128,128,01-01-2022,1500,1600,3100,3100,04-01-2022,Cash
129,129,01-01-2022,2500,0,2500,2500,04-01-2022,Cash
130,130,01-01-2022,2500,1200,3700,3700,05-01-2022,Cash
131,131,01-01-2022,2500,800,3300,3300,02-01-2022,Card
132,132,01-01-2022,2000,1200,3200,3200,03-01-2022,UPI
133,133,01-01-2022,1500,0,1500,1500,23-01-2022,Card
134,134,01-01-2022,4000,0,4000,4000,04-01-2022,Cash
135,135,01-01-2022,2500,0,2500,2500,02-01-2022,UPI
136,136,01-01-2022,2000,800,2800,2800,01-01-2022,UPI
137,137,01-01-2022,4000,0,4000,0,,Bank Transfer
138,138,01-01-2022,1500,0,1500,1500,02-01-2022,Cash
139,139,01-01-2022,1500,1600,3100,3100,05-01-2022,Bank Transfer
140,140,01-01-2022,1500,0,1500,1500,03-01-2022,Bank Transfer
141,141,01-01-2022,2000,0,2000,2000,04-01-2022,UPI
142,142,01-01-2022,1500,1600,3100,3100,30-01-2022,UPI
143,143,01-01-2022,1500,1600,3100,3100,04-01-2022,Cash
144,144,01-01-2022,2000,1200,3200,3200,11-01-2022,Bank Transfer
145,145,01-01-2022,3200,800,4000,4000,02-01-2022,Bank Transfer
146,146,01-01-2022,2500,1600,4100,4100,04-01-2022,Cash
147,147,01-01-2022,2500,1200,3700,3700,18-01-2022,Bank Transfer
148,148,01-01-2022,4000,0,4000,2312.999444,08-01-2022,UPI
149,149,01-01-2022,3200,0,3200,3200,03-01-2022,Card
150,150,01-01-2022,3200,0,3200,3200,01-01-2022,Cash
151,151,01-01-2022,3200,800,4000,4000,05-01-2022,Cash
152,152,01-01-2022,4000,1200,5200,5200,02-01-2022,UPI
153,153,01-01-2022,1500,800,2300,2300,03-01-2022,UPI
154,154,01-01-2022,2500,1600,4100,4100,01-01-2022,Card
155,155,01-01-2022,1500,0,1500,1500,01-01-2022,Cash
156,156,01-01-2022,2000,0,2000,0,,Card
157,157,01-01-2022,2000,1200,3200,3200,04-01-2022,Card
158,158,01-01-2022,2000,0,2000,2000,03-01-2022,Bank Transfer
159,159,01-01-2022,2500,0,2500,2500,02-01-2022,UPI
160,160,01-01-2022,2500,1200,3700,2419.585574,04-01-2022,UPI
161,161,01-01-2022,4000,0,4000,4000,03-01-2022,Bank Transfer
162,162,01-01-2022,2000,1200,3200,0,,Bank Transfer
163,163,01-01-2022,2500,1200,3700,3700,01-01-2022,Cash
164,164,01-01-2022,4000,1600,5600,5600,04-01-2022,UPI
165,165,01-01-2022,1500,1200,2700,2700,13-01-2022,UPI
166,166,01-01-2022,2000,1600,3600,3600,03-01-2022,Bank Transfer
167,167,01-01-2022,4000,1600,5600,5600,02-01-2022,Bank Transfer
168,168,01-01-2022,1500,1600,3100,3100,22-01-2022,Bank Transfer
169,169,01-01-2022,3200,1200,4400,2116.952137,06-01-2022,Bank Transfer
170,170,01-01-2022,3200,1600,4800,4800,04-01-2022,Card
171,171,01-01-2022,2000,1600,3600,3600,05-01-2022,Cash
172,172,01-01-2022,2000,1600,3600,1352.726522,08-01-2022,UPI
173,173,01-01-2022,4000,1200,5200,5200,01-01-2022,UPI
174,174,01-01-2022,4000,800,4800,4800,02-01-2022,Card
175,175,01-01-2022,4000,1600,5600,3510.993578,10-01-2022,Card
176,176,01-01-2022,4000,800,4800,4800,03-01-2022,Bank Transfer
177,177,01-01-2022,2000,1600,3600,3600,22-01-2022,UPI
178,178,01-01-2022,4000,0,4000,4000,02-01-2022,Bank Transfer
179,179,01-01-2022,3200,1600,4800,4800,14-01-2022,Card
180,180,01-01-2022,2500,1600,4100,4100,01-01-2022,UPI
181,181,01-01-2022,4000,0,4000,4000,03-01-2022,UPI
182,182,01-01-2022,3200,0,3200,3200,04-01-2022,Cash
183,183,01-01-2022,2500,0,2500,2500,11-01-2022,Bank Transfer
184,184,01-01-2022,1500,0,1500,1500,02-01-2022,UPI
185,185,01-01-2022,1500,800,2300,2300,01-01-2022,Cash
186,186,01-01-2022,3200,800,4000,4000,02-01-2022,Cash
187,187,01-01-2022,4000,1600,5600,5600,03-01-2022,Bank Transfer
188,188,01-01-2022,3200,1200,4400,4400,04-01-2022,Card
189,189,01-01-2022,2000,1600,3600,2262.212665,06-01-2022,Bank Transfer
190,190,01-01-2022,3200,1200,4400,4400,03-01-2022,Bank Transfer
191,191,01-01-2022,1500,1600,3100,3100,01-01-2022,Bank Transfer
192,192,01-01-2022,2500,0,2500,2500,03-01-2022,Cash
193,193,01-01-2022,2000,0,2000,2000,23-01-2022,Cash
194,194,01-01-2022,2500,1600,4100,4100,03-01-2022,Cash
195,195,01-01-2022,4000,0,4000,4000,05-01-2022,Cash
196,196,01-01-2022,3200,1200,4400,4400,12-01-2022,Cash
197,197,01-01-2022,2000,0,2000,2000,03-01-2022,UPI
198,198,01-01-2022,1500,800,2300,2300,22-01-2022,Bank Transfer
199,199,01-01-2022,1500,0,1500,1500,23-01-2022,Card
200,200,01-01-2022,3200,1600,4800,4800,05-01-2022,Cash
201,201,01-01-2022,4000,1200,5200,5200,19-01-2022,Card
202,202,01-01-2022,2500,800,3300,0,,Cash
203,203,01-01-2022,4000,1600,5600,5600,02-01-2022,Card
204,204,01-01-2022,2000,800,2800,2800,01-01-2022,Bank Transfer
205,205,01-01-2022,2500,800,3300,3300,05-01-2022,Card
206,206,01-01-2022,3200,1600,4800,4800,01-01-2022,Card
207,207,01-01-2022,2000,1600,3600,3600,02-01-2022,Cash
208,208,01-01-2022,1500,1600,3100,3100,03-01-2022,Cash
209,209,01-01-2022,1500,0,1500,1500,25-01-2022,Cash
210,210,01-01-2022,3200,1600,4800,4800,02-01-2022,Cash
211,211,01-01-2022,2000,1600,3600,3600,01-01-2022,Bank Transfer
212,212,01-01-2022,4000,800,4800,4800,03-01-2022,UPI
213,213,01-01-2022,2500,0,2500,2500,05-01-2022,Card
214,214,01-01-2022,1500,1200,2700,2700,23-01-2022,Cash
215,215,01-01-2022,1500,0,1500,1500,03-01-2022,Bank Transfer
216,216,01-01-2022,1500,0,1500,1500,02-01-2022,Cash
217,217,01-01-2022,2000,1600,3600,3600,02-01-2022,UPI
218,218,01-01-2022,1500,800,2300,976.857966,06-01-2022,UPI
219,219,01-01-2022,2500,0,2500,2500,02-01-2022,UPI
220,220,01-01-2022,1500,0,1500,1500,01-01-2022,UPI
221,221,01-01-2022,4000,800,4800,4800,17-01-2022,Bank Transfer
222,222,01-01-2022,1500,1200,2700,2700,03-01-2022,Card
223,223,01-01-2022,1500,0,1500,847.0666395,01-01-2022,Card
224,224,01-01-2022,1500,800,2300,2300,04-01-2022,Card
225,225,01-01-2022,4000,0,4000,4000,04-01-2022,Bank Transfer
226,226,01-01-2022,2000,1200,3200,3200,05-01-2022,Cash
227,227,01-01-2022,2500,800,3300,3300,28-01-2022,Cash
228,228,01-01-2022,2000,0,2000,2000,04-01-2022,Cash
229,229,01-01-2022,1500,1200,2700,2700,05-01-2022,Bank Transfer
230,230,01-01-2022,1500,1600,3100,3100,04-01-2022,Bank Transfer
231,231,01-01-2022,1500,800,2300,2300,04-01-2022,Bank Transfer
232,232,01-01-2022,1500,800,2300,2300,05-01-2022,UPI
233,233,01-01-2022,2000,1600,3600,3600,05-01-2022,UPI
234,234,01-01-2022,4000,1600,5600,5600,03-01-2022,Card
235,235,01-01-2022,3200,1600,4800,0,,Cash
236,236,01-01-2022,2000,0,2000,2000,17-01-2022,Bank Transfer
237,237,01-01-2022,2500,1600,4100,4100,02-01-2022,Cash
238,238,01-01-2022,2000,800,2800,2800,03-01-2022,UPI
239,239,01-01-2022,2500,1200,3700,3700,28-01-2022,UPI
240,240,01-01-2022,4000,0,4000,4000,05-01-2022,Card
241,241,01-01-2022,2500,0,2500,2500,03-01-2022,UPI
242,242,01-01-2022,4000,1600,5600,5600,05-01-2022,UPI
243,243,01-01-2022,1500,1200,2700,2700,02-01-2022,Cash
244,244,01-01-2022,2000,1200,3200,3200,04-01-2022,Cash
245,245,01-01-2022,2500,0,2500,1001.169268,02-01-2022,Card
246,246,01-01-2022,2000,0,2000,2000,01-01-2022,Cash
247,247,01-01-2022,2000,1600,3600,1389.894451,08-01-2022,Card
248,248,01-01-2022,1500,0,1500,1500,02-01-2022,Card
249,249,01-01-2022,2000,0,2000,2000,04-01-2022,Card
250,250,01-01-2022,2000,800,2800,2800,01-01-2022,Card
251,251,01-01-2022,4000,1200,5200,5200,03-01-2022,UPI
252,252,01-01-2022,1500,800,2300,2300,03-01-2022,Cash
253,253,01-01-2022,3200,1200,4400,0,,Card
254,254,01-01-2022,4000,0,4000,0,,Bank Transfer
255,255,01-01-2022,4000,1600,5600,5600,01-01-2022,UPI
256,256,01-01-2022,2000,1600,3600,3600,01-01-2022,Cash
257,257,01-01-2022,1500,800,2300,2300,03-01-2022,Cash
258,258,01-01-2022,2000,1200,3200,3200,04-01-2022,Bank Transfer
259,259,01-01-2022,4000,1200,5200,3174.684193,02-01-2022,Cash
260,260,01-01-2022,4000,1200,5200,5200,01-01-2022,UPI
261,261,01-01-2022,2000,1600,3600,3600,24-01-2022,UPI
262,262,01-01-2022,1500,1200,2700,2700,01-01-2022,Cash
263,263,01-01-2022,3200,1600,4800,4800,04-01-2022,Bank Transfer
264,264,01-01-2022,1500,800,2300,2300,03-01-2022,Card
265,265,01-01-2022,1500,800,2300,2300,05-01-2022,UPI
266,266,01-01-2022,2000,1200,3200,0,,Card
267,267,01-01-2022,2500,1600,4100,4100,02-01-2022,Bank Transfer
268,268,01-01-2022,2000,1600,3600,3600,02-01-2022,UPI
269,269,01-01-2022,3200,1200,4400,4400,01-01-2022,Card
270,270,01-01-2022,1500,1200,2700,2700,05-01-2022,Card
271,271,01-01-2022,2500,0,2500,2500,01-01-2022,Bank Transfer
272,272,01-01-2022,2500,800,3300,3300,02-01-2022,Bank Transfer
273,273,01-01-2022,1500,1200,2700,2700,04-01-2022,Card
274,274,01-01-2022,2500,0,2500,2500,02-01-2022,Card
275,275,01-01-2022,1500,1600,3100,3100,04-01-2022,Bank Transfer
276,276,01-01-2022,4000,1200,5200,5200,03-01-2022,Cash
277,277,01-01-2022,4000,0,4000,4000,01-01-2022,Bank Transfer
278,278,01-01-2022,3200,0,3200,3200,05-01-2022,UPI
279,279,01-01-2022,3200,1200,4400,4400,04-01-2022,UPI
280,280,01-01-2022,1500,1600,3100,3100,04-01-2022,Cash
281,281,01-01-2022,2500,1600,4100,4100,02-01-2022,Card
282,282,01-01-2022,3200,1200,4400,4400,04-01-2022,Cash
283,283,01-01-2022,1500,1200,2700,2700,03-01-2022,Card
284,284,01-01-2022,2500,1200,3700,3700,04-01-2022,Card
285,285,01-01-2022,4000,1600,5600,5600,05-01-2022,Bank Transfer
286,286,01-01-2022,3200,1200,4400,4400,04-01-2022,Cash
287,287,01-01-2022,3200,0,3200,3200,04-01-2022,UPI
288,288,01-01-2022,2000,1600,3600,3600,02-01-2022,Cash
289,289,01-01-2022,4000,800,4800,4800,23-01-2022,Card
290,290,01-01-2022,1500,1600,3100,3100,05-01-2022,Card
291,291,01-01-2022,1500,1200,2700,2700,05-01-2022,Bank Transfer
292,292,01-01-2022,1500,1600,3100,3100,30-01-2022,Card
293,293,01-01-2022,4000,1600,5600,5600,03-01-2022,Card
294,294,01-01-2022,2000,1200,3200,3200,04-01-2022,Card
295,295,01-01-2022,2000,1600,3600,3600,30-01-2022,Cash
296,296,01-01-2022,4000,800,4800,4800,02-01-2022,UPI
297,297,01-01-2022,2500,800,3300,3300,03-01-2022,Cash
298,298,01-01-2022,3200,1200,4400,4400,04-01-2022,Cash
299,299,01-01-2022,3200,1200,4400,0,,Cash
300,300,01-01-2022,1500,0,1500,0,,UPI
301,301,01-01-2022,1500,1200,2700,2700,04-01-2022,Card
302,302,01-01-2022,1500,1200,2700,2700,03-01-2022,Cash
303,303,01-01-2022,2000,1600,3600,3600,03-01-2022,Card
304,304,01-01-2022,2500,800,3300,3300,02-01-2022,Card
305,305,01-01-2022,2000,0,2000,2000,02-01-2022,UPI
306,306,01-01-2022,2500,1600,4100,4100,01-01-2022,Bank Transfer
307,307,01-01-2022,1500,0,1500,1500,24-01-2022,Card
308,308,01-01-2022,2500,800,3300,1899.595703,01-01-2022,Card
309,309,01-01-2022,2000,1200,3200,3200,04-01-2022,Card
310,310,01-01-2022,4000,1200,5200,5200,02-01-2022,Bank Transfer
311,311,01-01-2022,1500,0,1500,1500,01-01-2022,Card
312,312,01-01-2022,2500,800,3300,0,,Cash
313,313,01-01-2022,2000,1200,3200,3200,05-01-2022,UPI
314,314,01-01-2022,2000,0,2000,2000,20-01-2022,Bank Transfer
315,315,01-01-2022,2500,1600,4100,4100,03-01-2022,UPI
316,316,01-01-2022,2000,1200,3200,3200,02-01-2022,Card
317,317,01-01-2022,1500,800,2300,0,,Card
318,318,01-01-2022,3200,0,3200,3200,02-01-2022,Card
319,319,01-01-2022,1500,800,2300,2300,02-01-2022,Cash
320,320,01-01-2022,3200,0,3200,3200,04-01-2022,UPI
321,321,01-01-2022,1500,0,1500,1500,04-01-2022,Cash
322,322,01-01-2022,1500,1200,2700,2700,02-01-2022,Bank Transfer
323,323,01-01-2022,1500,1600,3100,1331.536273,08-01-2022,Cash
324,324,01-01-2022,2000,800,2800,2800,05-01-2022,UPI
325,325,01-01-2022,1500,1200,2700,2700,01-01-2022,Bank Transfer
326,326,01-01-2022,3200,0,3200,3200,03-01-2022,Cash
327,327,01-01-2022,2000,0,2000,0,,Bank Transfer
328,328,01-01-2022,1500,1600,3100,3100,02-01-2022,Bank Transfer
329,329,01-01-2022,2000,1600,3600,3600,04-01-2022,UPI
330,330,01-01-2022,1500,800,2300,2300,01-01-2022,UPI
331,331,01-01-2022,2000,800,2800,2800,17-01-2022,Bank Transfer
332,332,01-01-2022,2000,800,2800,2800,29-01-2022,Bank Transfer
333,333,01-01-2022,2500,1200,3700,3700,03-01-2022,UPI
334,334,01-01-2022,2500,1200,3700,3700,02-01-2022,Cash
335,335,01-01-2022,2500,1200,3700,3700,15-01-2022,Bank Transfer
336,336,01-01-2022,1500,1200,2700,2700,05-01-2022,UPI
337,337,01-01-2022,1500,1200,2700,2700,05-01-2022,UPI
338,338,01-01-2022,1500,1600,3100,3100,02-01-2022,Bank Transfer
339,339,01-01-2022,4000,0,4000,4000,16-01-2022,Bank Transfer
340,340,01-01-2022,4000,1200,5200,0,,UPI
341,341,01-01-2022,1500,0,1500,1500,05-01-2022,Bank Transfer
342,342,01-01-2022,2000,0,2000,2000,01-01-2022,Cash
343,343,01-01-2022,2500,800,3300,3300,02-01-2022,UPI
344,344,01-01-2022,2000,0,2000,2000,05-01-2022,Card
345,345,01-01-2022,2000,1600,3600,3600,05-01-2022,Bank Transfer
346,346,01-01-2022,2000,1600,3600,3600,03-01-2022,UPI
347,347,01-01-2022,1500,1200,2700,2700,04-01-2022,Bank Transfer
348,348,01-01-2022,2000,1600,3600,2285.65873,07-01-2022,UPI
349,349,01-01-2022,2500,1200,3700,3700,04-01-2022,Cash
350,350,01-01-2022,4000,1600,5600,5600,25-01-2022,Bank Transfer
351,351,01-01-2022,4000,1600,5600,5600,05-01-2022,Card
352,352,01-01-2022,1500,1600,3100,3100,03-01-2022,UPI
353,353,01-01-2022,2000,1600,3600,3600,01-01-2022,Cash
354,354,01-01-2022,1500,0,1500,1500,01-01-2022,Bank Transfer
355,355,01-01-2022,4000,800,4800,4800,05-01-2022,Card
356,356,01-01-2022,1500,1200,2700,2700,15-01-2022,Cash
357,357,01-01-2022,2000,0,2000,2000,01-01-2022,Card
358,358,01-01-2022,4000,1200,5200,5200,05-01-2022,Cash
359,359,01-01-2022,1500,800,2300,2300,01-01-2022,Bank Transfer
360,360,01-01-2022,2000,800,2800,2800,04-01-2022,Bank Transfer
361,361,01-01-2022,1500,1200,2700,2700,03-01-2022,Card
362,362,01-01-2022,1500,0,1500,0,,Bank Transfer
363,363,01-01-2022,1500,1600,3100,3100,02-01-2022,Bank Transfer
364,364,01-01-2022,4000,0,4000,0,,UPI
365,365,01-01-2022,4000,1600,5600,5600,02-01-2022,Cash
366,366,01-01-2022,2000,1600,3600,3600,01-01-2022,UPI
367,367,01-01-2022,2000,1200,3200,3200,05-01-2022,Bank Transfer
368,368,01-01-2022,1500,1600,3100,3100,03-01-2022,Bank Transfer
369,369,01-01-2022,4000,800,4800,4800,03-01-2022,Bank Transfer
370,370,01-01-2022,3200,0,3200,3200,05-01-2022,Bank Transfer
371,371,01-01-2022,2000,0,2000,2000,14-01-2022,Card
372,372,01-01-2022,2500,1200,3700,3700,03-01-2022,Cash
373,373,01-01-2022,1500,0,1500,1500,23-01-2022,Bank Transfer
374,374,01-01-2022,2000,0,2000,2000,30-01-2022,Card
375,375,01-01-2022,1500,1600,3100,3100,03-01-2022,Card
376,376,01-01-2022,4000,800,4800,4800,02-01-2022,UPI
377,377,01-01-2022,1500,1600,3100,3100,02-01-2022,Card
378,378,01-01-2022,2000,1600,3600,3600,04-01-2022,Cash
379,379,01-01-2022,2000,1200,3200,3200,03-01-2022,Bank Transfer
380,380,01-01-2022,2500,800,3300,3300,04-01-2022,Card
381,381,01-01-2022,1500,0,1500,1500,03-01-2022,UPI
382,382,01-01-2022,1500,800,2300,2300,03-01-2022,UPI
383,383,01-01-2022,1500,1600,3100,3100,03-01-2022,Bank Transfer
384,384,01-01-2022,3200,0,3200,3200,04-01-2022,UPI
385,385,01-01-2022,3200,0,3200,3200,04-01-2022,Cash
386,386,01-01-2022,2000,1200,3200,0,,Bank Transfer
387,387,01-01-2022,3200,0,3200,3200,03-01-2022,Card
388,388,01-01-2022,1500,800,2300,2300,01-01-2022,Bank Transfer
389,389,01-01-2022,2500,800,3300,3300,04-01-2022,Card
390,390,01-01-2022,2500,1600,4100,2098.730904,05-01-2022,Bank Transfer
391,391,01-01-2022,1500,1200,2700,1863.194374,06-01-2022,UPI
392,392,01-01-2022,2000,1200,3200,3200,04-01-2022,Card
393,393,01-01-2022,2500,1600,4100,2338.812242,10-01-2022,Card
394,394,01-01-2022,1500,800,2300,2300,01-01-2022,Card
395,395,01-01-2022,4000,1200,5200,5200,28-01-2022,Bank Transfer
396,396,01-01-2022,3200,1600,4800,4800,01-01-2022,UPI
397,397,01-01-2022,1500,0,1500,1500,29-01-2022,Cash
398,398,01-01-2022,3200,1600,4800,4800,03-01-2022,UPI
399,399,01-01-2022,1500,1200,2700,2700,03-01-2022,Bank Transfer
400,400,01-01-2022,2500,1200,3700,3700,04-01-2022,Cash
401,401,01-01-2022,1500,800,2300,2300,24-01-2022,Bank Transfer
402,402,01-01-2022,3200,800,4000,0,,UPI
403,403,01-01-2022,4000,0,4000,4000,05-01-2022,Bank Transfer
404,404,01-01-2022,2000,1200,3200,3200,02-01-2022,UPI
405,405,01-01-2022,2500,800,3300,3300,01-01-2022,UPI
